Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
7.59684E+11	Aceite Para Bebe Jaloma 60 Ml	$18.00	$18.00	$18.00	3	0	BEBES
7.50223E+12	Aceite San Sebastian	$15.00	$15.00	$15.00	0	0	MATERIAL DE CURACION
7.50225E+12	Aceite Vitacilina 250ml	$22.00	$22.00	$22.00	0	0	PERFUMERIA
7.59684E+11	Aceite de Almendras 60ml	$20.00	$20.00	$20.00	4	0	rebotica
 ACETATO PARA COP	Acetato Para Copiadora	$2.50	$2.50	$2.50	55	0	PAPELERIA
7.59684E+11	Acetona 110 Ml	$23.00	$23.00	$23.00	0	0	PERFUMERIA
7.50221E+12	Acetona By Zinder	$18.00	$18.00	$18.00	0	0	PERFUMERIA
7.59684E+11	Acetona Jaloma 60ml	$15.00	$15.00	$15.00	6	0	PERFUMERIA
7.50101E+12	Acetona Lasa	$13.00	$13.00	$13.00	0	0	PERFUMERIA
7.50156E+12	Aciclovir Crema 	$38.00	$38.00	$38.00	0	0	GENERICOS
7.50157E+12	Aciclovir Tab 200 Mg F1	$85.00	$85.00	$85.00	0	0	GENERICOS
7.50126E+12	Acido Ascorbico Vitamina C	$149.00	$149.00	$149.00	10	0	GENERICOS
7.50225E+12	Acido Borico	$5.00	$5.00	$5.00	39	0	rebotica
7.50145E+12	Acido Folico Tabletas	$15.00	$15.00	$15.00	1	0	GENERICOS
7.50183E+12	Acido Mefenamico Tab	$55.00	$55.00	$55.00	0	0	GENERICOS
7.50109E+12	Acomexol  Crema 	$89.00	$89.00	$89.00	0	0	PERFUMERIA
7.50631E+12	Acondicionador  Head Shoulders  	$39.00	$39.00	$39.00	0	0	PERFUMERIA
7.79129E+12	Acondicionador Dove Recons 400 Ml	$35.00	$35.00	$35.00	0	0	PERFUMERIA
7.50955E+12	Acondicionador Fructis Borrador De Daño 300 Ml	$30.00	$30.00	$30.00	0	0	PERFUMERIA
7.50955E+12	Acondicionador Fructis Crece Fuerte	$30.00	$30.00	$30.00	0	0	PERFUMERIA
7.5012E+12	Acondicionador Perd Fuerza Keratina	$30.00	$30.00	$30.00	0	0	PERFUMERIA
 ACXROMICINA CAJA	Acromicina Caja	$185.00	$185.00	$185.00	0	0	PATENTE
 ACROMICINA TABLETAS	Acromicina Tab	$10.00	$10.00	$10.00	4	0	PASTILLAS SUELTAS
 ACTIVIA	Activia	$14.00	$14.00	$14.00	0	0	VENTA LIBRE
7.50132E+12	Actron 600 Capsulas	$89.00	$89.00	$89.00	0	0	PATENTE
7.50132E+12	Actron Plus  Capsulas 	$102.00	$102.00	$102.00	0	0	PATENTE
 ACTRON PLUS 	Actron Plus Tabletas Sueltas	$12.00	$12.00	$12.00	10	0	PATENTE
7.50132E+12	Actron Suspension Infantil	$98.00	$98.00	$98.00	0	0	PATENTE
7.50132E+12	Actron Tab 400 Mg	$85.00	$85.00	$85.00	0	0	PATENTE
 ACUARELA	Acuarela Barrilito	$48.00	$48.00	$48.00	3	0	PAPELERIA
 ACUARELAS PALETA	Acuarela En Paleta Trime	$36.00	$36.00	$36.00	0	1	PAPELERIA
 ACUARELA MUSSA 6 COL	Acuarela Mussa 6 Colores	$13.00	$13.00	$13.00	2	0	PAPELERIA
 ACUARELAS MUSSA 	Acuarelas Mussa Con 12 Colores	$15.00	$15.00	$15.00	8	0	PAPELERIA
 ACUARELAS	Acuarelas Mussa Con 6 Colores	$8.00	$8.00	$8.00	1	0	PAPELERIA
7.50107E+12	Adekon C Sol. Inf	$85.00	$85.00	$85.00	0	0	GENERICOS
7.50117E+12	Aderogil 15 Ampolleta Oral C/5	$130.00	$130.00	$130.00	0	0	PATENTE
7.50117E+12	Aderogil C Gts Infantil	$68.00	$68.00	$68.00	0	0	PATENTE
7.50117E+12	Aderogyl  Ampolleta Digerible	$28.00	$28.00	$28.00	0	0	PATENTE
7.50174E+12	Adidas 6 En 1 Spray	$49.00	$49.00	$49.00	0	0	PERFUMERIA
7.50154E+12	Adinol (paracetamol)	$18.00	$18.00	$18.00	0	0	GENERICOS
75009328	Advil  Grageas 200 Mg	$35.00	$35.00	$35.00	0	0	PATENTE
7.50111E+12	Advil Fast Con 10	$53.00	$53.00	$53.00	0	0	PATENTE
7.50111E+12	Advil Fast Grageas	$60.00	$60.00	$60.00	0	0	PATENTE
7.50129E+12	Advil Infantil Jarabe	$84.00	$84.00	$84.00	0	0	PATENTE
7.50111E+12	Advil Max 20 Cap	$99.00	$99.00	$99.00	0	0	PATENTE
7.50111E+12	Advil Max Capsulas	$62.00	$62.00	$62.00	0	0	PATENTE
7.50111E+12	Advil Pediatrico Susp	$89.00	$89.00	$89.00	0	0	PATENTE
 ADVIL SUELTA	Advil Suelta	$10.00	$10.00	$10.00	7	0	PASTILLAS SUELTAS
7.50129E+12	Advil Tab 200 Mg	$55.00	$55.00	$55.00	0	0	PATENTE
7.50129E+12	Advil Tabs C/10	$87.00	$87.00	$87.00	1	0	PATENTE
7.50105E+12	Afrin Adulto	$55.00	$55.00	$55.00	0	0	PATENTE
7.50105E+12	Afrin Infantil 	$52.00	$52.00	$52.00	0	0	PATENTE
7.50105E+12	Afrin Lub Adulto	$55.00	$55.00	$55.00	0	0	PATENTE
 AFUNGIL	Afungil Tab 150 Mg	$125.00	$125.00	$125.00	0	0	PATENTE
7.5014E+12	Agin C 20	$119.00	$119.00	$119.00	0	0	PATENTE
 AGIN TAB SUELTA	Agin Tabletas Sueltas	$7.00	$7.00	$7.00	13	0	PASTILLAS SUELTAS
7.50113E+12	Agrifen Caja 	$25.00	$25.00	$25.00	0	0	PATENTE
 AGRIFEN PARCHES	Agrifen Parche Suelto Adulto	$13.00	$13.00	$13.00	0	0	PATENTE
 AGRIFEN SUELTO	Agrifen Suelto	$4.00	$4.00	$4.00	5	0	PASTILLAS SUELTAS
7.50113E+12	Agrulaxa	$32.00	$32.00	$32.00	0	0	PATENTE
 AGUA EPURA 	Agua Epura 	$9.00	$9.00	$9.00	0	0	VENTA LIBRE
 AGUA MINERAL 	Agua Mineral	$13.00	$13.00	$13.00	0	0	VENTA LIBRE
7.50225E+12	Agua Net Fijacion Extrema 500ml	$54.00	$54.00	$54.00	1	0	PERFUMERIA
 AGUA OXIGENADA	Agua Oxigenada 1 Lts	$36.00	$36.00	$36.00	3	0	MATERIAL DE CURACION
7.59684E+11	Agua Oxigenada 112 Ml	$15.00	$15.00	$15.00	3	0	MATERIAL DE CURACION
7.50184E+12	Agua Oxigenada 224 Ml	$19.00	$19.00	$19.00	0	0	MATERIAL DE CURACION
7.50105E+12	Agua Oxigenada 230 Ml	$13.00	$13.00	$13.00	0	0	MATERIAL DE CURACION
 AGUA OXIGENADA 400 M	Agua Oxigenada 400 Ml	$24.00	$24.00	$24.00	0	0	MATERIAL DE CURACION
 AGUA OXIGENADA 50 ML	Agua Oxigenada 50 Ml	$5.00	$5.00	$5.00	0	0	MATERIAL DE CURACION
7.59684E+11	Agua Oxigenada 56 Ml	$9.00	$9.00	$9.00	4	0	MATERIAL DE CURACION
7.50201E+12	Agua Oxigenada Balmen 56ml 	$11.00	$11.00	$11.00	2	0	MATERIAL DE CURACION
7.50105E+12	Agua Oxigenada De 100 Ml	$14.00	$14.00	$14.00	8	0	MATERIAL DE CURACION
7.59684E+11	Agua Oxigenada De 240 Ml	$18.00	$18.00	$18.00	0	0	PERFUMERIA
7.50113E+12	Agua Oxigenada De 250 Ml	$15.00	$15.00	$15.00	0	0	MATERIAL DE CURACION
7.50184E+12	Agua Oxigenada De 500ml	$25.00	$25.00	$25.00	1	0	MATERIAL DE CURACION
6.5024E+11	Ah -Micol Jr Jarabe	$62.00	$62.00	$62.00	1	0	PATENTE
6.5024E+11	Ah Micol Suspension INFANTIL	$54.00	$54.00	$54.00	0	0	PATENTE
6.5024E+11	Ah Micol Tab	$60.00	$60.00	$60.00	1	0	PATENTE
7.50108E+12	Albendazol 200mg	$20.00	$20.00	$20.00	0	0	GENERICOS
 ALBUM  CUERPOS GEOME	Album Cuerpos Geometricos	$30.00	$30.00	$30.00	4	0	PAPELERIA
 ALCANFOR	Alcanfor Bolsita 	$7.00	$7.00	$7.00	26	0	rebotica
 ALCOHOL AZUL 1 LITRO	Alcohol 1 Litro Azul 	$70.00	$70.00	$70.00	0	0	MATERIAL DE CURACION
 ALCOHOL DE 1 LITRO 	Alcohol 1 Litro Rojo	$80.00	$80.00	$80.00	4	0	MATERIAL DE CURACION
 ALCOHOL 125 ML ROJO	Alcohol 125  Ml Rojo	$18.00	$18.00	$18.00	7	0	MATERIAL DE CURACION
 ALCOHOL 500 ML ROJO	Alcohol 500 Ml Rojo Az	$55.00	$55.00	$55.00	18	0	MATERIAL DE CURACION
7.50302E+12	Alcohol Azul 125 Ml	$14.00	$14.00	$14.00	5	0	MATERIAL DE CURACION
7.50187E+12	Alcohol Azul 250 Ml	$33.00	$33.00	$33.00	7	0	MATERIAL DE CURACION
 ALCOHOL 500 ML AZUL	Alcohol Azul 500 Ml	$50.00	$50.00	$50.00	10	0	MATERIAL DE CURACION
 ALCOHOL 110 ML ROJO	Alcohol De 110 Ml Rojo	$13.00	$13.00	$13.00	0	0	MATERIAL DE CURACION
7.59684E+11	Alcohol En Gel	$80.00	$80.00	$80.00	5	0	MATERIAL DE CURACION
 ALCOHOL ROJO 250 ML	Alcohol Rojo 250 Ml	$30.00	$30.00	$30.00	15	0	MATERIAL DE CURACION
 ALCOHOL ROJO  250 ML	Alcohol Rojo Az 250 M	$17.00	$17.00	$17.00	0	0	MATERIAL DE CURACION
7.50225E+12	Aldara Crema 5%	"$1,300.00"	"$1,300.00"	"$1,300.00"	0	0	PATENTE
7.50159E+12	Alevarin Capsulas	$80.00	$80.00	$80.00	0	0	GENERICOS
 ALEVIAN DUO	Alevian Duo Cap	$28.00	$28.00	$28.00	18	0	PASTILLAS SUELTAS
7.50109E+12	Alevian Duo Capsulas 	$358.00	$358.00	$358.00	0	0	PATENTE
 ALFILERES CON CABEZA	Alfileres Con Cabeza De Colores	$13.00	$13.00	$13.00	6	0	PAPELERIA
7.80083E+11	Algestona Con Estradiol Iny	$55.00	$55.00	$55.00	0	0	GENERICOS
7.50138E+12	Algodon  100 Gr	$20.00	$20.00	$20.00	11	0	MATERIAL DE CURACION
7.503E+12	Algodon 25g 	$12.00	$12.00	$12.00	15	0	MATERIAL DE CURACION
7.50138E+12	Algodon 50 Gr	$15.00	$15.00	$15.00	0	0	MATERIAL DE CURACION
7.503E+12	Algodon De 50 Gr 	$15.00	$15.00	$15.00	0	0	MATERIAL DE CURACION
 ALGODON JALOMA	Algodon Jaloma 25 Gr	$10.00	$10.00	$10.00	10	0	MATERIAL DE CURACION
7.50635E+12	Algodon Kohn 25 Gr	$10.00	$10.00	$10.00	10	0	MATERIAL DE CURACION
7.50105E+12	Algodon Protec 25 Gr	$13.00	$13.00	$13.00	0	0	MATERIAL DE CURACION
71603002197	Alicate Cuticula	$99.00	$99.00	$99.00	0	0	MATERIAL DE CURACION
7.50159E+12	Aligomitas Con Azucar	$95.00	$95.00	$95.00	0	0	GENERICOS
7.50109E+12	Alin Iny	$57.00	$57.00	$57.00	12	0	PATENTE
7.50109E+12	Alin Nasal	$105.00	$105.00	$105.00	0	0	PATENTE
7.50109E+12	Alin Oftamico	$65.00	$65.00	$65.00	0	0	PATENTE
7.50109E+12	Alin Tab 0.5 Mg	$60.00	$60.00	$60.00	0	0	PATENTE
 ALIREN JARABE	Aliren Jarabe	$45.00	$45.00	$45.00	0	0	GENERICOS
6.5024E+11	Aliviax 550 Tab	$82.00	$82.00	$82.00	2	0	PATENTE
7.50112E+12	Alivin Plus Infantil	$55.00	$55.00	$55.00	0	0	PATENTE
7.50112E+12	Alivin Plus Iny Adulto	$64.00	$64.00	$64.00	0	0	PATENTE
 ALKA-SELTZER LIMON S	Alka-Seltzer Limon Suelta	$3.50	$3.50	$3.50	0	0	PASTILLAS SUELTAS
 ALKASELTZER S	Alka-Seltzer Suelta 	$3.50	$3.50	$3.50	10	0	PASTILLAS SUELTAS
7.50101E+12	AlkaSeltzer Caja C12	$32.00	$32.00	$32.00	0	0	PATENTE
7.50111E+12	Alkagel Suspension	$60.00	$60.00	$60.00	0	0	GENERICOS
 ALKASELTZER BOOST	Alkaseltzer Boost Suelta 	$4.00	$4.00	$4.00	1	0	PATENTE
7.50101E+12	Alkaseltzer Limon Efervescente	$28.00	$28.00	$28.00	0	0	PATENTE
 ALLIVIAX TAB	Alliviax Tab Sueltas	$11.00	$11.00	$11.00	11	0	PASTILLAS SUELTAS
 ALPRAZOLAM TABLETAS	Alprazolam Tabletas	$350.00	$350.00	$350.00	0	0	GENERICOS
7.50101E+12	Always Diarios Con Perfume Con 40	$40.00	$40.00	$40.00	0	0	PERFUMERIA
7.79007E+12	Always Normal FlexiAlas C/10	$24.00	$24.00	$24.00	0	0	PERFUMERIA
7.50183E+12	Ambroxol /Oxeladina Adulto Jarabe	$70.00	$70.00	$70.00	0	0	GENERICOS
7.502E+12	Ambroxol /Oxeladina Jarabe Infantil F1	$65.00	$65.00	$65.00	1	0	GENERICOS
7.50201E+12	Ambroxol Con Salbutamol Jarabe	$45.00	$45.00	$45.00	0	0	GENERICOS
7.50128E+12	Ambroxol Gotas	$35.00	$35.00	$35.00	0	0	GENERICOS
7.50128E+12	Ambroxol Jarabe	$45.00	$45.00	$45.00	1	0	GENERICOS
7.50134E+12	Ambroxol Solucion	$35.00	$35.00	$35.00	0	0	GENERICOS
7.50157E+12	Ambroxol Tab	$35.00	$35.00	$35.00	0	0	GENERICOS
7.502E+12	Ambroxol/Clenbuterol Jarabe	$55.00	$55.00	$55.00	0	0	GENERICOS
7.50221E+12	Ambroxol/Dextrometorfano	$45.00	$45.00	$45.00	0	0	GENERICOS
7.50135E+12	Amikacina 1 Ampolleta 500mg/2ml	$35.00	$35.00	$35.00	3	0	GENERICOS
7.50113E+12	Amikacina 100 Mg	$30.00	$30.00	$30.00	0	0	GENERICOS
7.50135E+12	Amikacina 100 Mg Con 2 Amp.	$28.00	$28.00	$28.00	3	0	GENERICOS
7.50135E+12	Amikacina Solucion 500 2 Ampolletas	$80.00	$80.00	$80.00	2	0	GENERICOS
7.50112E+12	Amikayect  Iny 100 Mg	$90.00	$90.00	$90.00	2	0	PATENTE
7.50222E+12	Amlodipino Tab 	$35.00	$35.00	$35.00	0	0	GENERICOS
7.503E+12	Amoxicilina /Ac.Clavulanico 400 Mg Susp	$65.00	$65.00	$65.00	0	0	GENERICOS
7.503E+12	Amoxicilina Capsulas 250 Mg	$35.00	$35.00	$35.00	0	0	GENERICOS
7.50135E+12	Amoxicilina Capsulas 500 Mg F1	$55.00	$55.00	$55.00	1	0	GENERICOS
7.50201E+12	Amoxicilina Con Ac Clavulanico Susp 200 Mg	$45.00	$45.00	$45.00	0	0	GENERICOS
7.50201E+12	Amoxicilina Con Acido Clavulanico Susp 250 Mg	$60.00	$60.00	$60.00	0	0	GENERICOS
7.50201E+12	Amoxicilina Con Sulbactam Susp	$95.00	$95.00	$95.00	3	0	GENERICOS
7.50201E+12	Amoxicilina Con Sulbactam Tab	$95.00	$95.00	$95.00	5	0	GENERICOS
7.50107E+12	Amoxicilina De 500mg	$113.00	$113.00	$113.00	0	0	PATENTE
7.50148E+12	Amoxicilina Susp 250 Mg F1	$40.00	$40.00	$40.00	0	0	GENERICOS
7.50221E+12	Amoxicilina Susp 500	$45.00	$45.00	$45.00	0	0	GENERICOS
7.50221E+12	Amoxicilina Suspension 250 Mg	$45.00	$45.00	$45.00	0	0	GENERICOS
7.50221E+13	Amoxicilina/ Acido Clavulanico 125 Mg Susp	$60.00	$60.00	$6.00	0	0	GENERICOS
7.50107E+12	Amoxicilina/Bromhexina	$140.00	$140.00	$0.00	0	0	GENERICOS
7.503E+12	Amoxicilina/Bromhexina Caps 500/8mg	$50.00	$50.00	$50.00	0	0	GENERICOS
7.50113E+12	Ampicilina  Inyectable 500 Mg	$35.00	$35.00	$35.00	4	10	GENERICOS
7.50135E+12	Ampicilina 1 Gr  Inyectable	$45.00	$45.00	$45.00	0	0	generico (Eliminado 06/08/2020)
7.50139E+12	Ampicilina Cap 500mg	$50.00	$50.00	$50.00	2	0	GENERICOS
7.80083E+11	Ampicilina Capsulas 500 Mg	$38.00	$38.00	$38.00	0	0	GENERICOS
7.50139E+12	Ampicilina Susp 500 Mg	$35.00	$35.00	$35.00	0	0	GENERICOS
7.503E+12	Ampicilina Suspencion 250mg 5mL	$45.00	$45.00	$45.00	2	0	GENERICOS
7.503E+12	Ampicilina Tabletas 500 Mg	$45.00	$45.00	$45.00	0	0	GENERICOS
7.80083E+11	Ampigrin Adulto	$120.00	$120.00	$120.00	1	0	GENERICOS
7.80083E+11	Ampigrin Capsulas	$75.00	$75.00	$75.00	0	0	GENERICOS
7.80083E+11	Ampigrin Infantil Iny	$100.00	$100.00	$100.00	0	0	GENERICOS
7.80083E+11	Ampigrin Jarabe Infantil	$60.00	$60.00	$60.00	1	0	GENERICOS
7.80083E+11	Ampigrin Pediatrico	$60.00	$60.00	$60.00	0	0	GENERICOS
7.5013E+12	Analgen 20 Tabs	$72.00	$72.00	$72.00	0	0	PATENTE
7.50302E+12	Analgen Forte Colicos 	$70.00	$70.00	$70.00	0	0	PATENTE
7.5013E+12	Analgen Forte Tab	$65.00	$65.00	$65.00	0	0	PATENTE
7.50302E+12	Analgen Gel	$79.00	$79.00	$79.00	0	0	PATENTE
7.50302E+12	Analgen Nf Gel	$76.00	$76.00	$76.00	2	0	PATENTE
7.50109E+12	Anara Jarabe	$105.00	$105.00	$105.00	0	0	PATENTE
7.50109E+12	Anara Solucion Gotas 7.5mg	$102.00	$102.00	$102.00	0	0	PATENTE
7.50109E+12	Anara Tabletas	$87.00	$87.00	$87.00	1	0	PATENTE
 ANARA TABLETAS	Anara Tabletas Sueltas	$8.00	$8.00	$8.00	13	0	PASTILLAS SUELTAS
7.50107E+12	Andantol Crema	$126.00	$126.00	$126.00	0	0	PATENTE
 ANDANTOL TABLETAS	Andantol Tabletas	$9.00	$9.00	$9.00	0	0	PATENTE
7.50107E+12	Anerex Solucion	$222.00	$222.00	$222.00	0	0	PATENTE
8400005120	Anhigot Oftalmico 	$469.00	$469.00	$469.00	0	0	PATENTE
7.50225E+12	Anis Estrella 	$8.00	$8.00	$8.00	25	0	rebotica
7.50163E+12	Antibenzil Jabon Quirurgico	$50.00	$50.00	$50.00	0	0	MATERIAL DE CURACION
7.50163E+12	Antibenzil Jabon Quirurgico De 1 Litro	$75.00	$75.00	$75.00	2	0	MATERIAL DE CURACION
7.50163E+12	Antibenzil Sol Antiseptica	$45.00	$45.00	$45.00	2	0	MATERIAL DE CURACION
 ANTIFLUDES CAP	Antifludes Cap	$4.50	$4.50	$4.50	30	0	PASTILLAS SUELTAS
7.50109E+12	Antifludes Capsulas	$102.00	$102.00	$102.00	0	0	PATENTE
7.50109E+12	Antifludes Junior Jarabe	$68.00	$68.00	$68.00	0	0	PATENTE
7.50109E+12	Antifludes Pediatrico	$85.00	$85.00	$85.00	1	0	PATENTE
7.50107E+12	Antiseptico Astringosol Advance 	$42.00	$42.00	$42.00	0	0	PERFUMERIA
7.50101E+12	Antiseptico Astringosol Cool	$43.00	$43.00	$43.00	0	0	PERFUMERIA
7.50106E+12	Antiseptico Astringosol Cuidado Total	$50.00	$50.00	$50.00	0	0	PERFUMERIA
3.12547E+11	Antiseptico Listerine Cool	$35.00	$35.00	$35.00	0	0	PERFUMERIA
7.50103E+12	Apego	$305.00	$305.00	$305.00	0	0	PATENTE
7.50222E+12	Aplicadores Dip	$12.00	$12.00	$12.00	0	0	PERFUMERIA
7.50222E+12	Aplicadores Dip&dub Bolsa C/250	$25.00	$25.00	$25.00	0	0	PERFUMERIA
7.50222E+12	Aplicadores Dup Bote	$20.00	$20.00	$20.00	0	0	PERFUMERIA
7.50105E+12	Aplicadores Limpiesitos  C/100	$20.00	$20.00	$20.00	0	0	PERFUMERIA
 APOSITO 	Aposito Transparente	$32.00	$32.00	$32.00	10	0	MATERIAL DE CURACION
 AQUA 3 LITOS	Aqua 3litros	$20.00	$20.00	$20.00	0	0	VENTA LIBRE
 AQUA 600	Aqua 600ml	$7.00	$7.00	$7.00	0	0	VENTA LIBRE
7.50109E+12	Arbistil Jarabe Adulto	$245.00	$245.00	$245.00	0	0	PATENTE
7.50109E+12	Arbistin Jarabe Pediatrico	$185.00	$185.00	$185.00	0	0	PATENTE
7.502E+12	Ardoson Capsulas	$110.00	$110.00	$110.00	0	0	GENERICOS
7.50112E+12	Argentafil Crema	$142.00	$142.00	$142.00	1	0	PATENTE
7.50044E+12	Ariel Polvo  900 Gr	$32.00	$32.00	$32.00	3	0	PERFUMERIA
7.5013E+12	Artrenac Gel	$145.00	$145.00	$145.00	0	0	PATENTE
7.50107E+12	Ascor Gotas	$275.00	$275.00	$275.00	0	0	PATENTE
 ASPIRINA ADVANCE	Aspirina Advance Suelta	$3.00	$3.00	$3.00	0	0	PATENTE
7.50101E+12	Aspirina Advance Tab	$45.00	$45.00	$45.00	0	0	PATENTE
7.50101E+12	Aspirina Caja c40	$36.00	$36.00	$36.00	0	0	PATENTE
 ASPIRINA EFERVECENTE	Aspirina Efervecente Suelta	$3.00	$3.00	$3.00	0	0	PATENTE
7.50101E+12	Aspirina Efervesente  C12	$28.00	$28.00	$28.00	0	0	PATENTE
 ASPIRINA JUNIOR	Aspirina Junior	$2.00	$2.00	$2.00	7	0	PASTILLAS SUELTAS
7.50101E+12	Aspirina Junior C60	$50.00	$50.00	$50.00	0	0	PATENTE
7.50132E+12	Aspirina Protec	$93.00	$93.00	$93.00	0	0	PATENTE
 ASPIRINA	Aspirina Suelta Tab 500 Mg	$2.00	$2.00	$2.00	33	0	PASTILLAS SUELTAS
7.50107E+12	Astringosol Complete 300ml	$45.00	$45.00	$45.00	0	0	PERFUMERIA
7.50107E+12	Astringosol Fresca Proteccion	$49.00	$49.00	$49.00	0	0	PERFUMERIA
7.50107E+12	Astringosol Ice	$46.00	$46.00	$46.00	0	0	PERFUMERIA
7.50107E+12	Astringosol Proteccion Esmalte	$42.00	$42.00	$42.00	0	0	PERFUMERIA
 ATACAND PLUS TAB	Atacand Plus Tab	$500.00	$500.00	$500.00	0	0	PATENTE
 ATOMIZADOR	Atomizador	$20.00	$20.00	$20.00	0	0	PAPELERIA
7.85121E+11	Atorvastatina 20mg	$88.00	$88.00	$88.00	0	0	GENERICOS
7.85121E+11	Atorvastatina Tab 10 Mg F1	$88.00	$88.00	$88.00	0	0	generico (Eliminado 06/08/2020)
7.50109E+12	Autrin Tab 	$340.00	$340.00	$340.00	0	0	PATENTE
7.50222E+12	Avapena Iny 	$230.00	$230.00	$230.00	0	0	PATENTE
 AVAPENA INY SUELTA	Avapena Iny Suelta	$55.00	$55.00	$55.00	10	0	PASTILLAS SUELTAS
7.50222E+12	Avapena Tab	$195.00	$195.00	$195.00	0	0	PATENTE
